Title,Subtitle,Narrated By,Series,Length,Release Date,Language,Ratings
"Pequeño cerdo capitalista: Finanzas personales para hippies, yuppies y bohemios [Small Capitalist Pig: Personal Finance for Hippies, Yuppies and Bohemians]",,"Narrated by: Sofía Macías, Yeri Isunza Casanova",Series: Pequeño cerdo capitalista [Small Capitalist Pig],Length: 5 hrs and 42 mins,Release date: 07-28-16,Language: Spanish,"4.5 out of 5 stars
657 ratings"
Get Rich with Dividends,"A Proven System for Earning Double-Digit Returns, 2nd Edition",Narrated by: Paul McClain,,Length: 7 hrs and 31 mins,Release date: 07-27-20,Language: English,"5 out of 5 stars
16 ratings"
Rich Dad Poor Dad: 20th Anniversary Edition,What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Narrated by: Tom Parks,Series: Rich Dad Series,Length: 8 hrs and 22 mins,Release date: 05-14-19,Language: English,"5 out of 5 stars
15,392 ratings"
Economics in One Lesson,,Narrated by: Jeff Riggenbach,,Length: 6 hrs and 55 mins,Release date: 12-15-99,Language: English,"4.5 out of 5 stars
2,843 ratings"
The New New Thing,A Silicon Valley Story,Narrated by: Bruce Reizen,,Length: 9 hrs and 26 mins,Release date: 09-29-08,Language: English,"4 out of 5 stars
1,040 ratings"
The More of Less,,Narrated by: Joshua Becker,,Length: 6 hrs and 43 mins,Release date: 05-03-16,Language: English,"4.5 out of 5 stars
2,646 ratings"
Blind Spot,The Global Rise of Unhappiness and How Leaders Missed It,Narrated by: Fred Sanders,,Length: 6 hrs and 12 mins,Release date: 02-17-23,Language: English,"5 out of 5 stars
3 ratings"
Sold Out,"How Broken Supply Chains, Surging Inflation, and Political Instability Will Sink the Global Economy",Narrated by: James Rickards,,Length: 7 hrs and 44 mins,Release date: 12-06-22,Language: English,"4.5 out of 5 stars
229 ratings"
Scale,"The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Narrated by: Bruce Mann,,Length: 19 hrs and 13 mins,Release date: 05-16-17,Language: English,"4.5 out of 5 stars
1,134 ratings"
Easy Money,"Cryptocurrency, Casino Capitalism, and the Golden Age of Fraud",Narrated by: Ben McKenzie,,Length: Not Yet Known,Release date: 07-18-23,Language: English,Not rated yet
The Wealthy Way,Don't Go Broke Trying to Get Rich,Narrated by: Ryan Pineda,,Length: 5 hrs and 1 min,Release date: 12-28-22,Language: English,"5 out of 5 stars
47 ratings"
Unshakeable,Your Financial Freedom Playbook,"Narrated by: Tony Robbins, Jeremy Bobb",,Length: 7 hrs and 21 mins,Release date: 02-28-17,Language: English,"4.5 out of 5 stars
9,338 ratings"
Learning Leadership,The Five Fundamentals of Becoming an Exemplary Leader,Narrated by: Kevin Stillwell,,Length: 6 hrs and 43 mins,Release date: 11-15-16,Language: English,"4.5 out of 5 stars
132 ratings"
The 1-Page Marketing Plan,"Get New Customers, Make More Money, And Stand Out From The Crowd",Narrated by: Joel Richards,,Length: 6 hrs and 32 mins,Release date: 08-16-16,Language: English,"5 out of 5 stars
4,935 ratings"
Market Wizards,Interviews with Top Traders,Narrated by: Dj Holte,,Length: 14 hrs and 41 mins,Release date: 03-21-13,Language: English,"4.5 out of 5 stars
2,537 ratings"
21st Century Monetary Policy,The Federal Reserve from the Great Inflation to COVID-19,Narrated by: George Guidall,,Length: 16 hrs and 4 mins,Release date: 05-17-22,Language: English,"4.5 out of 5 stars
89 ratings"
I.U.L. ASAP!,"How to Win the Financial Game of Life, Invest Like the Wealthy, and Generate Tax-Free Income with One 3-Letter Word",Narrated by: Angela Ohlfest,,Length: 4 hrs and 3 mins,Release date: 07-13-22,Language: English,"5 out of 5 stars
17 ratings"
The Warren Buffett Way,3rd Edition,Narrated by: Stephen Hoye,,Length: 10 hrs and 31 mins,Release date: 09-30-13,Language: English,"4.5 out of 5 stars
1,430 ratings"
The Fiat Standard,The Debt Slavery Alternative to Human Civilization,"Narrated by: Saifedean Ammous, Guy Swann",,Length: 12 hrs and 44 mins,Release date: 03-17-22,Language: English,"4.5 out of 5 stars
325 ratings"
"Basic Economics, Fifth Edition",A Common Sense Guide to the Economy,Narrated by: Tom Weiner,,Length: 23 hrs and 47 mins,Release date: 12-02-14,Language: English,"5 out of 5 stars
4,649 ratings"
Evicted,Poverty and Profit in the American City,Narrated by: Dion Graham,,Length: 11 hrs and 3 mins,Release date: 03-01-16,Language: English,"4.5 out of 5 stars
5,765 ratings"
The Millionaire Mind,,Narrated by: Cotter Smith,,Length: 12 hrs and 20 mins,Release date: 10-27-00,Language: English,"4.5 out of 5 stars
2,956 ratings"
SHIFT,How Top Real Estate Agents Tackle Tough Times,Narrated by: Cliff Haby,,Length: 8 hrs and 8 mins,Release date: 02-21-09,Language: English,"4.5 out of 5 stars
879 ratings"
Hot Commodities,How Anyone Can Invest Profitably in the World's Best Market,Narrated by: John McLain,,Length: 7 hrs and 25 mins,Release date: 10-21-13,Language: English,"4.5 out of 5 stars
275 ratings"
Adrift,America in 100 Charts,Narrated by: Scott Galloway,,Length: 3 hrs and 15 mins,Release date: 09-27-22,Language: English,"4.5 out of 5 stars
262 ratings"
Same as Ever,A Guide to What Never Changes,,,Length: 8 hrs,Release date: 11-07-23,Language: English,Not rated yet
The Body of Money,A Self-Help Guide to Creating Sustainable Wealth Through Innate Intelligence,Narrated by: Marguerite Gavin,,Length: 10 hrs and 23 mins,Release date: 04-07-23,Language: English,Not rated yet
Principles for Dealing with the Changing World Order,Why Nations Succeed or Fail,"Narrated by: Jeremy Bobb, Ray Dalio",,Length: 16 hrs and 48 mins,Release date: 11-30-21,Language: English,"4.5 out of 5 stars
4,476 ratings"
The End of the World Is Just the Beginning,Mapping the Collapse of Globalization,Narrated by: Peter Zeihan,,Length: 16 hrs and 44 mins,Release date: 06-14-22,Language: English,"5 out of 5 stars
5,015 ratings"
Check Your Financial Privilege,,Narrated by: Guy Swann,,Length: 11 hrs and 2 mins,Release date: 08-16-22,Language: English,"5 out of 5 stars
45 ratings"
The Charge,Activating the 10 Human Drives that Make You Feel Alive,Narrated by: Brendon Burchard,,Length: 7 hrs and 57 mins,Release date: 05-15-12,Language: English,"4.5 out of 5 stars
1,139 ratings"
How to Become a Rainmaker,The Rules for Getting and Keeping Customers and Clients,Narrated by: Jeffrey J. Fox,,Length: 2 hrs and 8 mins,Release date: 06-06-00,Language: English,"4.5 out of 5 stars
827 ratings"
Triggers,Creating Behavior That Lasts - Becoming the Person You Want to Be,Narrated by: Marshall Goldsmith,,Length: 6 hrs and 36 mins,Release date: 05-19-15,Language: English,"4.5 out of 5 stars
3,929 ratings"
The Win-Win Wealth Strategy (1st Edition),7 Investments the Government Will Pay You to Make,Narrated by: Will Tulin,,Length: 5 hrs and 12 mins,Release date: 07-22-22,Language: English,"4.5 out of 5 stars
113 ratings"
The Airbnb Story,"How Three Ordinary Guys Disrupted an Industry, Made Billions…and Created Plenty of Controversy",Narrated by: Christine Marshall,,Length: 8 hrs and 27 mins,Release date: 03-21-17,Language: English,"4.5 out of 5 stars
601 ratings"
Skill,"A Top-Producing Agent’s Guide to Earning Unlimited Income (Top-Producing Real Estate Agent, Book 2)",Narrated by: Clifford Ponder,,Length: 13 hrs and 49 mins,Release date: 06-03-22,Language: English,"5 out of 5 stars
47 ratings"
The Consistency Pill,The 7 Step System to Increase Sales and Transform Your Business,Narrated by: Simon Chan,,Length: 3 hrs and 49 mins,Release date: 06-09-22,Language: English,"5 out of 5 stars
22 ratings"
Crack-Up Capitalism,Market Radicals and the Dream of a World Without Democracy,Narrated by: Keith Sellon-Wright,,Length: 9 hrs,Release date: 04-04-23,Language: English,"5 out of 5 stars
2 ratings"
The YouTube Formula,"How Anyone Can Unlock the Algorithm to Drive Views, Build an Audience, and Grow Revenue","Narrated by: Derral Eves, Tom Parks",,Length: 10 hrs and 3 mins,Release date: 04-26-22,Language: English,"5 out of 5 stars
306 ratings"
The Great Money Reset,"Change Your Work, Change Your Wealth, Change Your Life",Narrated by: Jill Schlesinger,,Length: 7 hrs and 33 mins,Release date: 01-24-23,Language: English,"4 out of 5 stars
14 ratings"
When to Rob a Bank,...And 131 More Warped Suggestions and Well-Intended Rants,"Narrated by: Stephen J. Dubner, Steven D. Levitt, Erik Bergmann",,Length: 8 hrs and 13 mins,Release date: 05-05-15,Language: English,"4 out of 5 stars
2,754 ratings"
Prosperity Consciousness,How to Tap Your Unlimited Wealth,Narrated by: Fredric Lehrman,Series: Nightingale-Conant: Wealth & Finance,Length: 6 hrs and 45 mins,Release date: 10-14-14,Language: English,"5 out of 5 stars
383 ratings"
"The General Theory of Employment, Interest, and Money",,Narrated by: Jonathan Keeble,,Length: 14 hrs and 37 mins,Release date: 07-24-18,Language: English,"4 out of 5 stars
119 ratings"
Bubble in the Sun,The Florida Boom of the 1920s and How It Brought on the Great Depression,Narrated by: Fred Sanders,,Length: 13 hrs and 27 mins,Release date: 01-14-20,Language: English,"4.5 out of 5 stars
251 ratings"
Entreleadership,20 Years of Practical Business Wisdom from the Trenches,Narrated by: Dave Ramsey,,Length: 6 hrs and 15 mins,Release date: 09-20-11,Language: English,"5 out of 5 stars
6,605 ratings"
How to Lie with Statistics,,Narrated by: Bryan DePuy,,Length: 3 hrs,Release date: 02-24-16,Language: English,"4.5 out of 5 stars
593 ratings"
More Than You Know,Finding Financial Wisdom in Unconventional Places,Narrated by: Sean Runnette,,Length: 7 hrs and 27 mins,Release date: 06-16-16,Language: English,"4.5 out of 5 stars
196 ratings"
The Globalization Myth,Why Regions Matter,Narrated by: Suzie Althens,,Length: 7 hrs and 42 mins,Release date: 11-15-22,Language: English,Not rated yet
Permanent Distortion,How the Financial Markets Abandoned the Real Economy Forever,Narrated by: Ellen Archer,,Length: 10 hrs and 3 mins,Release date: 10-11-22,Language: English,"4.5 out of 5 stars
61 ratings"
MegaThreats,"Ten Dangerous Trends That Imperil Our Future, and How to Survive Them",Narrated by: Kamran Khan,,Length: 10 hrs and 4 mins,Release date: 10-18-22,Language: English,"4 out of 5 stars
161 ratings"
How to Invest,,"Narrated by: David M. Rubenstein, Ray Dalio, Marc Andreessen, Stan Druckenmiller, Sam Zell, Mike Novogratz, Larry Fink, Mary Callahan Erdoes, Seth Klarman, Ron Baron, John W. Rogers Jr, Bill Miller, Jon Gray, Dawn Fitzpatrick, Paula Volent",,Length: 17 hrs and 13 mins,Release date: 09-13-22,Language: English,"4.5 out of 5 stars
257 ratings"
Jack,Straight from the Gut,Narrated by: Mike Barnicle,,Length: 13 hrs and 57 mins,Release date: 07-20-01,Language: English,"4.5 out of 5 stars
1,097 ratings"
The Million-Dollar Financial Advisor,Powerful Lessons and Proven Strategies from Top Producers,Narrated by: Allan Robertson,,Length: 8 hrs and 24 mins,Release date: 05-02-14,Language: English,"4.5 out of 5 stars
488 ratings"
The Meritocracy Trap,"How America's Foundational Myth Feeds Inequality, Dismantles the Middle Class, and Devours the Elite",Narrated by: Fred Sanders,,Length: 14 hrs and 13 mins,Release date: 09-10-19,Language: English,"4.5 out of 5 stars
418 ratings"
Kochland,The Secret History of Koch Industries and Corporate Power in America,Narrated by: Jacques Roy,,Length: 23 hrs and 15 mins,Release date: 08-13-19,Language: English,"4.5 out of 5 stars
705 ratings"
Crush It!,Why NOW Is the Time to Cash In on Your Passion,Narrated by: Gary Vaynerchuk,,Length: 3 hrs and 40 mins,Release date: 01-05-10,Language: English,"4.5 out of 5 stars
11,489 ratings"
The Little Book of Common Sense Investing,"The Only Way to Guarantee Your Fair Share of Stock Market Returns, 10th Anniversary Edition",Narrated by: L. J. Ganser,,Length: 5 hrs and 50 mins,Release date: 12-05-17,Language: English,"4.5 out of 5 stars
2,376 ratings"
Rich Dad Advisors: ABCs of Real Estate Investing,The Secrets of Finding Hidden Profits Most Investors Miss,Narrated by: Garrett Sutton,,Length: 5 hrs and 7 mins,Release date: 01-29-13,Language: English,"4.5 out of 5 stars
3,336 ratings"
Pioneering Portfolio Management,"An Unconventional Approach to Institutional Investment, Fully Revised and Updated",Narrated by: Scott R. Pollak,,Length: 17 hrs and 47 mins,Release date: 12-27-18,Language: English,"4.5 out of 5 stars
83 ratings"
The Zen Trader,How Ancient Wisdom Can Help You Master Your Mind...and the Markets,Narrated by: Dovydas Abarius,,Length: 4 hrs and 32 mins,Release date: 04-22-22,Language: English,"5 out of 5 stars
22 ratings"
The 22 Immutable Laws of Marketing,,Narrated by: David Drummond,,Length: 3 hrs and 6 mins,Release date: 04-22-14,Language: English,"4.5 out of 5 stars
2,021 ratings"
Tower of Basel,The Shadowy History of the Secret Bank that Runs the World,Narrated by: John Mawson,,Length: 10 hrs and 11 mins,Release date: 05-28-13,Language: English,"4.5 out of 5 stars
218 ratings"
Fortune's Formula,The Untold Story of the Scientific Betting System That Beat the Casinos and Wall Street,Narrated by: Jeremy Arthur,,Length: 10 hrs and 2 mins,Release date: 06-20-17,Language: English,"4.5 out of 5 stars
329 ratings"
Treasure Principle,Unlocking the Secrets of Joyful Giving,Narrated by: Paul Michael,,Length: 2 hrs and 38 mins,Release date: 02-09-09,Language: English,"4.5 out of 5 stars
318 ratings"
How Adam Smith Can Change Your Life,An Unexpected Guide to Human Nature and Happiness,Narrated by: Don Hagen,,Length: 5 hrs and 29 mins,Release date: 10-09-14,Language: English,"4.5 out of 5 stars
928 ratings"
Dotcom Secrets,The Underground Playbook for Growing Your Company Online with Sales Funnels,Narrated by: Russell Brunson,,Length: 6 hrs and 39 mins,Release date: 06-23-20,Language: English,"5 out of 5 stars
949 ratings"
El inversor inteligente [The Smart Investor],Un libro de asesoramiento práctico [A Practical Advice Book],Narrated by: Juan Manuel Acuña Rodriguez,,Length: 28 hrs and 2 mins,Release date: 04-02-19,Language: Spanish,"4.5 out of 5 stars
147 ratings"
Angel,"How to Invest in Technology Startups - Timeless Advice from an Angel Investor Who Turned $100,000 into $100,000,000",Narrated by: Jason Calacanis,,Length: 8 hrs and 19 mins,Release date: 07-18-17,Language: English,"4.5 out of 5 stars
1,352 ratings"
The Big Myth,How American Business Taught Us to Loathe Government and Love the Free Market,Narrated by: Liza Seneca,,Length: 21 hrs and 27 mins,Release date: 02-21-23,Language: English,"4.5 out of 5 stars
17 ratings"
Competitive Strategy,Techniques for Analyzing Industries and Competitors,Narrated by: Scott R. Pollak,,Length: 15 hrs and 31 mins,Release date: 03-07-19,Language: English,"4.5 out of 5 stars
148 ratings"
The System,"Who Rigged It, How We Fix It",Narrated by: Robert B. Reich,,Length: 6 hrs and 7 mins,Release date: 03-24-20,Language: English,"5 out of 5 stars
1,021 ratings"
100 Baggers,Stocks That Return 100-to-1 and How to Find Them,Narrated by: Tom Jacobs,,Length: 6 hrs and 19 mins,Release date: 11-06-17,Language: English,"4.5 out of 5 stars
557 ratings"
Good Economics for Hard Times,Better Answers to Our Biggest Problems,Narrated by: James Lurie,,Length: 14 hrs and 45 mins,Release date: 11-12-19,Language: English,"4.5 out of 5 stars
1,299 ratings"
Breaking into Venture,"An Outsider Turned Venture Capitalist Shares How to Take Risks, Create Power, and Build Life-Changing Wealth",Narrated by: Jessica Marchbank,,Length: 8 hrs and 48 mins,Release date: 03-21-23,Language: English,Not rated yet
When Money Dies,"The Nightmare of Deficit Spending, Devaluation, and Hyperinflation in Weimar, Germany",Narrated by: Antony Ferguson,,Length: 9 hrs,Release date: 12-10-10,Language: English,"4.5 out of 5 stars
571 ratings"
Utopia for Realists,How We Can Build the Ideal World,Narrated by: Peter Noble,,Length: 6 hrs and 34 mins,Release date: 08-11-17,Language: English,"4.5 out of 5 stars
1,704 ratings"
More than Money,Real-Life Stories of Financial Planning,Narrated by: Audrey J Williams,,Length: 6 hrs and 52 mins,Release date: 03-21-23,Language: English,Not rated yet
Burn the Boats,Toss Plan B Overboard and Unleash Your Full Potential,Narrated by: Matt Higgins,,Length: 7 hrs and 14 mins,Release date: 02-14-23,Language: English,"4.5 out of 5 stars
59 ratings"
The Wise Investor,A Modern Parable About Creating Financial Freedom and Living Your Best Life,Narrated by: Rich Fettke,,Length: 4 hrs and 41 mins,Release date: 08-30-22,Language: English,"5 out of 5 stars
111 ratings"
Why the West Rules - for Now,"The Patterns of History, and What They Reveal About the Future",Narrated by: Antony Ferguson,,Length: 24 hrs and 35 mins,Release date: 02-09-11,Language: English,"4.5 out of 5 stars
278 ratings"
Treasure Islands,Tax Havens and the Men Who Stole the World,Narrated by: Tim Bentinck,,Length: 12 hrs and 52 mins,Release date: 06-29-11,Language: English,"4.5 out of 5 stars
181 ratings"
The Only Investment Guide You'll Ever Need: Revised Edition,,Narrated by: Chris Sorensen,,Length: 10 hrs and 52 mins,Release date: 06-28-22,Language: English,"4.5 out of 5 stars
19 ratings"
Firedom,Financial Independence Stories of African Immigrants,"Narrated by: Olumide Ogunsanwo, Achani Samon Biaou",,Length: 12 hrs and 12 mins,Release date: 03-27-23,Language: English,"5 out of 5 stars
3 ratings"
When McKinsey Comes to Town,The Hidden Influence of the World's Most Powerful Consulting Firm,Narrated by: Ari Fliakos,,Length: 10 hrs and 6 mins,Release date: 10-04-22,Language: English,"4.5 out of 5 stars
277 ratings"
Slouching Towards Utopia,An Economic History of the Twentieth Century,Narrated by: Allan Aquino,,Length: 20 hrs and 13 mins,Release date: 09-06-22,Language: English,"4.5 out of 5 stars
184 ratings"
The Progress Illusion,Reclaiming Our Future from the Fairytale of Economics,Narrated by: David Colacci,,Length: 8 hrs and 18 mins,Release date: 04-11-23,Language: English,Not rated yet
How to Trade in Stocks,,Narrated by: Joseph Kant,,Length: 1 hr and 43 mins,Release date: 05-17-19,Language: English,"4.5 out of 5 stars
261 ratings"
The Chickenshit Club,Why the Justice Department Fails to Prosecute Executives,Narrated by: Jonathan Todd Ross,,Length: 13 hrs and 36 mins,Release date: 07-11-17,Language: English,"4.5 out of 5 stars
339 ratings"
Nothing Is True and Everything Is Possible,The Surreal Heart of the New Russia,Narrated by: Antony Ferguson,,Length: 8 hrs and 28 mins,Release date: 09-28-16,Language: English,"4.5 out of 5 stars
759 ratings"
Winners Take All,The Elite Charade of Changing the World,Narrated by: Anand Giridharadas,,Length: 9 hrs and 36 mins,Release date: 08-28-18,Language: English,"4.5 out of 5 stars
3,103 ratings"
The Fourth Industrial Revolution,,Narrated by: Nicholas Guy Smith,,Length: 5 hrs and 32 mins,Release date: 01-03-17,Language: English,"4 out of 5 stars
634 ratings"
30 Days to Taming Your Tongue,What You Say (And Don't Say) Will Improve Your Relationships,Narrated by: Kiersten Kingsley,,Length: 2 hrs and 6 mins,Release date: 12-31-08,Language: English,"4.5 out of 5 stars
137 ratings"
Make Your Kids Millionaires,The Step-by-Step Guide to Lead Children to Financial Freedom,Narrated by: Holly Adams,,Length: 10 hrs and 21 mins,Release date: 05-10-22,Language: English,"5 out of 5 stars
10 ratings"
Pyramid of Lies,"The Prime Minister, the Banker and the Billion Pound Scandal",Narrated by: Duncan Mavin,,Length: 10 hrs and 59 mins,Release date: 07-21-22,Language: English,"4.5 out of 5 stars
46 ratings"
La semana laboral de 4 horas (Narración en Castellano),,Narrated by: Daniel Gonzalez,,Length: 4 hrs and 50 mins,Release date: 06-07-19,Language: Spanish,"4.5 out of 5 stars
78 ratings"
The Hypomanic Edge,The Link Between (A Little) Craziness and (A Lot of) Success in America,Narrated by: Stephen R. Thorne,,Length: 10 hrs and 48 mins,Release date: 12-03-19,Language: English,"4.5 out of 5 stars
146 ratings"
"Falso: Dinero falso. Mestros falsos. Activos falsos. [Fake: Fake Money, Fake Teachers, Fake Assets]",Como las mentiras están haciendo a los pobres y a la clase media más pobres [How Lies Are Making the Poor and Middle Class Poorer],Narrated by: Jesús Flores Jaimes,,Length: 13 hrs and 30 mins,Release date: 08-05-19,Language: Spanish,"4.5 out of 5 stars
131 ratings"
The Financial Pocketknife,Beating the Dream Killers,Narrated by: James L Stoddard Jr.,,Length: 5 hrs and 19 mins,Release date: 01-26-19,Language: English,"5 out of 5 stars
96 ratings"
The 21-Day Financial Fast,Your Path to Financial Peace and Freedom,Narrated by: Michelle Singletary,,Length: 6 hrs and 41 mins,Release date: 11-26-19,Language: English,"4.5 out of 5 stars
80 ratings"
Fantasyland,How America Went Haywire: A 500-Year History,Narrated by: Kurt Andersen,,Length: 19 hrs and 35 mins,Release date: 09-05-17,Language: English,"4.5 out of 5 stars
2,798 ratings"
Super Pumped,The Battle for Uber,"Narrated by: Holter Graham, Mike Isaac",,Length: 12 hrs and 52 mins,Release date: 09-03-19,Language: English,"4.5 out of 5 stars
1,871 ratings"
The Code,Silicon Valley and the Remaking of America,Narrated by: Nan McNamara,,Length: 19 hrs and 11 mins,Release date: 07-09-19,Language: English,"4.5 out of 5 stars
211 ratings"
Saliendo de la Deuda Gozosamente [Getting Out of Debt Joyfully],,Narrated by: Cesar Gallegos,,Length: 6 hrs and 2 mins,Release date: 10-05-22,Language: Spanish,"5 out of 5 stars
2 ratings"
Rich Dad Advisors: Sales Dogs,You Don't Have to Be an Attack Dog to Explode Your Income,Narrated by: Blair Singer,,Length: 7 hrs and 1 min,Release date: 01-08-13,Language: English,"4.5 out of 5 stars
242 ratings"
Rich Woman,A Book on Investing for Women,Narrated by: Kim Kiyosaki,,Length: 6 hrs and 55 mins,Release date: 11-03-08,Language: English,"4.5 out of 5 stars
432 ratings"
Disrupted,My Misadventure in the Start-Up Bubble,Narrated by: Dan Lyons,,Length: 9 hrs and 17 mins,Release date: 04-05-16,Language: English,"4.5 out of 5 stars
3,359 ratings"
The UnCommunist Manifesto,"A Message of Hope, Responsibility, and Liberty for All","Narrated by: Mark Moss, Aleks Svetski",,Length: 1 hr and 54 mins,Release date: 08-17-22,Language: English,"5 out of 5 stars
41 ratings"
Girls That Invest,,Narrated by: Simran Kaur,,Length: 6 hrs and 48 mins,Release date: 12-17-22,Language: English,"5 out of 5 stars
13 ratings"
The Field Guide to Understanding 'Human Error',,Narrated by: Sidney Dekker,,Length: 3 hrs and 58 mins,Release date: 05-11-18,Language: English,"4.5 out of 5 stars
130 ratings"
Private Empire,ExxonMobil and American Power,Narrated by: Malcolm Hillgartner,,Length: 24 hrs and 16 mins,Release date: 05-01-12,Language: English,"4.5 out of 5 stars
740 ratings"
Buy Then Build,How Acquisition Entrepreneurs Outsmart the Startup Game,Narrated by: Roger Wayne,,Length: 7 hrs and 58 mins,Release date: 11-26-19,Language: English,"5 out of 5 stars
703 ratings"
Dirt Rich,"How One Ambitiously Lazy Geek Created Passive Income in Real Estate Without Renters, Renovations, and Rehabs",Narrated by: Mark Podolsky,,Length: 3 hrs and 19 mins,Release date: 07-06-18,Language: English,"4.5 out of 5 stars
293 ratings"
King of Capital,"The Remarkable Rise, Fall, and Rise Again of Steve Schwarzman and Blackstone",Narrated by: George K. Wilson,,Length: 14 hrs and 42 mins,Release date: 12-09-10,Language: English,"4.5 out of 5 stars
584 ratings"
"They Ask, You Answer","A Revolutionary Approach to Inbound Sales, Content Marketing, and Today's Digital Consumer, Revised & Updated",Narrated by: Marcus Sheridan,,Length: 9 hrs and 32 mins,Release date: 12-24-19,Language: English,"5 out of 5 stars
281 ratings"
The War on Normal People,,Narrated by: Andrew Yang,,Length: 6 hrs and 55 mins,Release date: 04-03-18,Language: English,"5 out of 5 stars
4,152 ratings"
Alibaba,The House That Jack Ma Built,Narrated by: Jim Meskimen,,Length: 9 hrs and 9 mins,Release date: 04-12-16,Language: English,"4 out of 5 stars
3,100 ratings"
The Rise and Fall of American Growth,The U.S. Standard of Living Since the Civil War,Narrated by: Michael Butler Murray,,Length: 30 hrs and 14 mins,Release date: 07-26-16,Language: English,"4.5 out of 5 stars
505 ratings"
Tap Dancing to Work,"Warren Buffett on Practically Everything, 1966–2012: A Fortune Magazine Book","Narrated by: Susan Boyce, Barry Press",,Length: 17 hrs and 38 mins,Release date: 05-21-13,Language: English,"4.5 out of 5 stars
277 ratings"
The House of Dimon,How JP Morgan's Jamie Dimon Rose to the Top of the Financial World,Narrated by: Suzanne Toren,,Length: 9 hrs and 39 mins,Release date: 08-14-09,Language: English,"4 out of 5 stars
126 ratings"
Open Veins of Latin America,Five Centuries of the Pillage of a Continent,Narrated by: Jonathan Davis,,Length: 14 hrs and 30 mins,Release date: 10-06-09,Language: English,"4.5 out of 5 stars
1,210 ratings"
One Up On Wall Street,,Narrated by: Peter Lynch,,Length: 2 hrs and 11 mins,Release date: 12-16-99,Language: English,"4.5 out of 5 stars
3,240 ratings"
Blood Money,"The Story of Life, Death, and Profit Inside America's Blood Industry","Narrated by: Sarah Mollo-Christensen, Kathleen McLaughlin",,Length: 8 hrs and 3 mins,Release date: 02-28-23,Language: English,"4 out of 5 stars
4 ratings"
Freedom's Forge,How American Business Built the Arsenal of Democracy That Won World War II,Narrated by: John McDonough,,Length: 16 hrs and 58 mins,Release date: 08-15-12,Language: English,"4.5 out of 5 stars
617 ratings"
Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,,Narrated by: Kate Raworth,,Length: 10 hrs and 49 mins,Release date: 11-16-17,Language: English,"4.5 out of 5 stars
431 ratings"
The House Hacking Strategy,How to Use Your Home to Achieve Financial Freedom,Narrated by: Clifford Ponder,,Length: 10 hrs and 1 min,Release date: 10-14-19,Language: English,"5 out of 5 stars
521 ratings"
Devil Take the Hindmost,A History of Financial Speculation,Narrated by: Nigel Patterson,,Length: 13 hrs and 29 mins,Release date: 02-26-19,Language: English,"4.5 out of 5 stars
297 ratings"
The Illusion of Money,Why Chasing Money Is Stopping You from Receiving It,"Narrated by: Kyle Cease, Matt Kahn",,Length: 4 hrs and 35 mins,Release date: 09-24-19,Language: English,"5 out of 5 stars
910 ratings"
El arte de hacer dinero [The Art of Moneymaking],,"Narrated by: Mario Borghino, Carlos Torres",,Length: 4 hrs and 46 mins,Release date: 04-12-18,Language: Spanish,"5 out of 5 stars
118 ratings"
It's Not Your Money,How to Live Fully from Divine Abundance,Narrated by: Tosha Silver,,Length: 6 hrs and 5 mins,Release date: 03-18-19,Language: English,"5 out of 5 stars
763 ratings"
Secrets of Sand Hill Road,Venture Capital and How to Get It,Narrated by: Sean Runnette,,Length: 9 hrs and 48 mins,Release date: 06-04-19,Language: English,"4.5 out of 5 stars
831 ratings"
The Future Is Faster Than You Think,"How Converging Technologies Are Disrupting Business, Industries, and Our Lives",Narrated by: Peter H. Diamandis,,Length: 9 hrs and 53 mins,Release date: 01-28-20,Language: English,"4.5 out of 5 stars
2,133 ratings"
The Supernova Advisor: Crossing the Invisible Bridge to Exceptional Client Service and Consistent Growth,,Narrated by: Scott Hoke,,Length: 3 hrs and 43 mins,Release date: 07-09-12,Language: English,"4.5 out of 5 stars
194 ratings"
Just Keep Buying,Proven Ways to Save Money and Build Your Wealth,Narrated by: Kevin Meyer,,Length: 6 hrs and 21 mins,Release date: 04-12-22,Language: English,"4.5 out of 5 stars
399 ratings"
Weapons of Math Destruction,How Big Data Increases Inequality and Threatens Democracy,Narrated by: Cathy O'Neil,,Length: 6 hrs and 23 mins,Release date: 09-06-16,Language: English,"4.5 out of 5 stars
2,893 ratings"
Bowling Alone: Revised and Updated,The Collapse and Revival of American Community,Narrated by: Arthur Morey,,Length: 18 hrs and 56 mins,Release date: 12-13-16,Language: English,"4.5 out of 5 stars
348 ratings"
When Genius Failed,The Rise and Fall of Long-Term Capital Management,Narrated by: Roger Lowenstein,,Length: 9 hrs and 12 mins,Release date: 08-27-01,Language: English,"4.5 out of 5 stars
2,361 ratings"
A Generation of Sociopaths,How the Baby Boomers Betrayed America,Narrated by: Wayne Pyle,,Length: 14 hrs and 49 mins,Release date: 03-07-17,Language: English,"4 out of 5 stars
719 ratings"
Don't Start a Side Hustle!,"Work Less, Earn More, and Live Free",Narrated by: Brian Page,,Length: 4 hrs and 11 mins,Release date: 10-18-22,Language: English,"4.5 out of 5 stars
93 ratings"
